,GP550R
RamanShit,Intensity,
2174.20,90.26,
2176.22,105.97,
2178.23,116.38,
2180.25,107.04,
2182.26,109.28,
2184.27,125.13,
2186.28,128.68,
2188.29,117.05,
2190.30,109.47,
2192.31,113.80,
2194.31,110.10,
2196.32,97.05,
2198.32,88.00,
2200.33,88.39,
2202.33,94.27,
2204.33,82.05,
2206.33,54.44,
2208.33,54.99,
2210.32,98.65,
2212.32,130.22,
2214.31,107.26,
2216.31,88.39,
2218.30,115.15,
2220.29,140.85,
2222.28,129.60,
2224.28,119.04,
2226.26,141.97,
2228.25,155.98,
2230.24,135.08,
2232.22,105.72,
2234.21,91.21,
2236.19,89.17,
2238.17,92.30,
2240.16,98.60,
2242.14,102.03,
2244.12,108.46,
2246.09,133.52,
2248.07,153.32,
2250.05,140.11,
2252.02,117.04,
2253.99,131.38,
2255.97,157.66,
2257.94,140.77,
2259.91,111.87,
2261.88,116.33,
2263.85,139.38,
2265.81,141.83,
2267.78,128.80,
2269.75,122.53,
2271.71,122.68,
2273.67,126.55,
2275.64,137.92,
2277.60,140.12,
2279.56,131.69,
2281.52,118.97,
2283.47,114.27,
2285.43,116.24,
2287.39,120.25,
2289.34,122.62,
2291.29,124.60,
2293.25,126.53,
2295.20,129.54,
2297.15,131.33,
2299.10,133.92,
2301.05,136.22,
2302.99,138.56,
2304.94,140.91,
2306.88,143.25,
2308.83,145.58,
2310.77,147.91,
2312.71,150.24,
2314.66,152.56,
2316.60,154.88,
2318.53,157.20,
2320.47,159.51,
2322.41,161.81,
2324.34,164.12,
2326.28,166.42,
2328.21,168.71,
2330.15,171.00,
2332.08,173.29,
2334.01,175.57,
2335.94,177.85,
2337.87,180.13,
2339.79,182.40,
2341.72,184.67,
2343.65,186.93,
2345.57,189.19,
2347.49,191.44,
2349.42,193.70,
2351.34,195.93,
2353.26,198.21,
2355.18,200.39,
2357.09,202.66,
2359.01,204.59,
2360.93,207.24,
2362.84,208.84,
2364.76,210.42,
2366.67,215.66,
2368.58,215.69,
2370.49,205.03,
2372.40,187.68,
2374.31,184.44,
2376.22,195.65,
2378.13,199.38,
2380.03,197.11,
2381.94,206.50,
2383.84,217.85,
2385.74,216.09,
2387.64,209.92,
2389.55,224.27,
2391.45,233.02,
2393.34,214.15,
2395.24,194.08,
2397.14,196.78,
2399.03,196.41,
2400.93,174.33,
2402.82,161.01,
2404.71,184.00,
2406.61,224.36,
2408.50,251.09,
2410.39,250.31,
2412.27,228.31,
2414.16,209.27,
2416.05,212.66,
2417.93,229.30,
2419.82,236.09,
2421.70,244.93,
2423.58,253.60,
2425.47,246.09,
2427.35,224.72,
2429.23,223.51,
2431.10,240.95,
2432.98,241.50,
2434.86,225.71,
2436.74,231.31,
2438.61,241.50,
2440.48,232.56,
2442.35,209.71,
2444.23,210.91,
2446.10,225.11,
2447.97,217.04,
2449.83,201.81,
2451.70,213.47,
2453.57,249.09,
2455.43,270.81,
2457.30,255.33,
2459.16,245.57,
2461.02,271.60,
2462.89,301.83,
2464.75,280.50,
2466.61,220.30,
2468.46,195.42,
2470.32,212.15,
2472.18,222.64,
2474.03,212.12,
2475.89,214.54,
2477.74,234.54,
2479.59,243.04,
2481.45,238.67,
2483.30,236.36,
2485.15,236.88,
2487.00,244.36,
2488.84,248.64,
2490.69,236.77,
2492.54,201.59,
2494.38,179.00,
2496.22,189.55,
2498.07,211.48,
2499.91,215.74,
2501.75,216.12,
2503.59,220.19,
2505.43,232.40,
2507.27,237.21,
2509.10,226.85,
2510.94,197.61,
2512.77,173.44,
2514.61,178.70,
2516.44,204.98,
2518.27,203.82,
2520.10,169.04,
2521.93,136.47,
2523.76,161.55,
2525.59,218.54,
2527.42,227.17,
2529.24,176.50,
2531.07,138.75,
2532.89,156.35,
2534.72,177.86,
2536.54,164.72,
2538.36,158.95,
2540.18,181.51,
2542.00,193.45,
2543.82,180.14,
2545.64,159.36,
2547.45,159.86,
2549.27,163.49,
2551.08,157.10,
2552.90,162.39,
2554.71,190.82,
2556.52,219.54,
2558.33,215.46,
2560.14,182.67,
2561.95,180.48,
2563.76,200.22,
2565.57,211.44,
2567.37,198.79,
2569.18,175.87,
2570.98,162.61,
2572.79,155.92,
2574.59,162.96,
2576.39,174.80,
2578.19,170.30,
2579.99,149.63,
2581.79,120.78,
2583.58,111.71,
2585.38,135.60,
2587.18,173.32,
2588.97,194.16,
2590.76,185.47,
2592.56,168.66,
2594.35,141.87,
2596.14,123.43,
2597.93,134.44,
2599.72,167.24,
2601.51,176.77,
2603.29,159.62,
2605.08,154.44,
2606.86,148.94,
2608.65,122.71,
2610.43,118.77,
2612.21,156.72,
2614.00,180.62,
2615.78,143.95,
2617.56,112.08,
2619.33,144.35,
2621.11,191.16,
2622.89,201.32,
2624.67,179.58,
2626.44,168.11,
2628.21,171.70,
2629.99,171.69,
2631.76,162.64,
2633.53,147.82,
2635.30,133.06,
2637.07,136.68,
2638.84,154.68,
2640.61,163.56,
2642.37,141.16,
2644.14,119.34,
2645.90,133.29,
2647.67,165.60,
2649.43,173.52,
2651.19,150.44,
2652.95,131.83,
2654.71,140.11,
2656.47,159.25,
2658.23,162.39,
2659.99,145.64,
2661.74,141.94,
2663.50,158.34,
2665.25,158.65,
2667.01,133.34,
2668.76,113.97,
2670.51,124.35,
2672.26,139.94,
2674.01,129.99,
2675.76,104.72,
2677.51,83.99,
2679.26,77.99,
2681.00,84.02,
2682.75,93.98,
2684.49,96.30,
2686.24,99.32,
2687.98,104.92,
2689.72,109.73,
2691.46,113.72,
2693.20,113.27,
