,GP550R
RamanShit,Intensity,
1663.80,991.01,
1666.09,1076.34,
1668.39,1108.93,
1670.69,1068.10,
1672.98,1010.79,
1675.27,995.33,
1677.56,1020.05,
1679.85,1039.54,
1682.14,1036.22,
1684.43,1037.96,
1686.71,1065.07,
1689.00,1064.42,
1691.28,1014.62,
1693.56,975.05,
1695.84,988.77,
1698.12,1021.41,
1700.40,1035.47,
1702.68,1013.09,
1704.95,970.91,
1707.23,947.42,
1709.50,967.51,
1711.77,1008.91,
1714.04,1028.28,
1716.31,1016.46,
1718.58,1007.12,
1720.85,1018.85,
1723.11,1069.24,
1725.38,1122.59,
1727.64,1125.62,
1729.90,1093.23,
1732.16,1085.88,
1734.42,1126.58,
1736.68,1181.24,
1738.94,1212.46,
1741.19,1214.47,
1743.45,1185.57,
1745.70,1153.21,
1747.95,1136.12,
1750.20,1125.87,
1752.45,1121.52,
1754.70,1111.04,
1756.95,1070.96,
1759.19,1011.03,
1761.43,968.83,
1763.68,979.92,
1765.92,1020.56,
1768.16,1029.46,
1770.40,999.32,
1772.64,962.94,
1774.88,969.56,
1777.11,981.73,
1779.34,923.10,
1781.58,837.28,
1783.81,819.23,
1786.04,854.02,
1788.27,867.26,
1790.50,840.55,
1792.72,827.78,
1794.95,828.10,
1797.17,813.35,
1799.40,793.33,
1801.62,774.31,
1803.84,749.51,
1806.06,732.67,
1808.28,723.87,
1810.50,691.08,
1812.71,648.97,
1814.92,652.82,
1817.14,696.86,
1819.35,703.12,
1821.56,665.24,
1823.77,648.72,
1825.98,673.63,
1828.19,668.23,
1830.39,608.25,
1832.60,553.89,
1834.80,573.72,
1837.00,649.93,
1839.20,691.19,
1841.40,657.17,
1843.60,623.40,
1845.80,634.70,
1848.00,658.95,
1850.19,652.88,
1852.38,634.97,
1854.58,626.18,
1856.77,615.72,
1858.96,605.68,
1861.15,604.89,
1863.33,609.64,
1865.52,627.39,
1867.71,637.58,
1869.89,621.65,
1872.07,592.96,
1874.26,594.54,
1876.44,617.16,
1878.62,621.08,
1880.79,595.65,
1882.97,563.10,
1885.15,547.36,
1887.32,564.32,
1889.49,593.61,
1891.67,608.40,
1893.84,614.14,
1896.01,620.92,
1898.17,597.34,
1900.34,553.90,
1902.51,529.98,
1904.67,530.66,
1906.84,525.71,
1909.00,495.70,
1911.16,469.59,
1913.32,463.06,
1915.48,478.80,
1917.64,485.93,
1919.79,437.79,
1921.95,380.90,
1924.10,391.36,
1926.26,455.05,
1928.41,491.93,
1930.56,465.31,
1932.71,429.68,
1934.86,413.13,
1937.00,429.13,
1939.15,465.25,
1941.29,478.82,
1943.44,446.18,
1945.58,389.32,
1947.72,364.69,
1949.86,386.40,
1952.00,410.19,
1954.14,423.30,
1956.27,412.15,
1958.41,388.05,
1960.54,372.00,
1962.68,366.82,
1964.81,347.34,
1966.94,314.24,
1969.07,318.92,
1971.20,369.62,
1973.32,376.27,
1975.45,321.04,
1977.57,303.95,
1979.70,365.71,
1981.82,418.10,
